Feature_Encoder,Aggregation,Fusion,Modality,BA,MCC,AUC,F1_Score
conch_v1_5,small_clam_sb,Early_Fusion,HE_KI67,0.63 ± 0.05 (0.61-0.64),0.71 ± 0.05 (0.70-0.72),0.95 ± 0.01 (0.95-0.95),0.77 ± 0.04 (0.76-0.78)
conch_v1_5,small_clam_sb,Intermediate_Fusion_CA_HE_inform_KI67,HE_KI67,0.66 ± 0.06 (0.64-0.68),0.70 ± 0.05 (0.68-0.71),0.94 ± 0.02 (0.93-0.94),0.76 ± 0.04 (0.75-0.77)
conch_v1_5,small_clam_sb,Intermediate_Fusion_CA_KI67_inform_HE,HE_KI67,0.66 ± 0.07 (0.64-0.68),0.72 ± 0.05 (0.70-0.73),0.94 ± 0.02 (0.94-0.95),0.78 ± 0.04 (0.76-0.79)
conch_v1_5,small_clam_sb,Intermediate_Fusion_CONCAT,HE_KI67,0.68 ± 0.06 (0.66-0.70),0.75 ± 0.05 (0.73-0.76),0.95 ± 0.01 (0.95-0.96),0.80 ± 0.04 (0.79-0.81)
conch_v1_5,small_clam_sb,Intermediate_Fusion_EWM,HE_KI67,0.66 ± 0.06 (0.65-0.68),0.75 ± 0.05 (0.73-0.76),0.95 ± 0.01 (0.95-0.96),0.80 ± 0.04 (0.79-0.81)
conch_v1_5,small_clam_sb,Late_Fusion_LA,HE_KI67,0.63 ± 0.06 (0.62-0.65),0.73 ± 0.05 (0.72-0.75),0.96 ± 0.01 (0.95-0.96),0.78 ± 0.04 (0.77-0.79)
conch_v1_5,small_clam_sb,Late_Fusion_LM_AL,HE_KI67,0.43 ± 0.09 (0.40-0.45),0.36 ± 0.14 (0.33-0.40),0.83 ± 0.06 (0.81-0.85),0.40 ± 0.15 (0.36-0.45)
conch_v1_5,small_clam_sb,Late_Fusion_LM_LL,HE_KI67,0.62 ± 0.11 (0.59-0.65),0.61 ± 0.12 (0.58-0.65),0.93 ± 0.05 (0.91-0.94),0.67 ± 0.12 (0.64-0.70)
conch_v1_5,small_clam_sb,Late_Fusion_LM_OHL,HE_KI67,0.74 ± 0.07 (0.72-0.76),0.71 ± 0.05 (0.70-0.73),0.95 ± 0.01 (0.95-0.96),0.78 ± 0.04 (0.77-0.79)
conch_v1_5,small_clam_sb,Late_Fusion_LM_THL,HE_KI67,0.73 ± 0.07 (0.71-0.75),0.69 ± 0.06 (0.67-0.71),0.95 ± 0.02 (0.94-0.95),0.76 ± 0.05 (0.74-0.77)
conch_v1_5,small_clam_sb,Late_Fusion_PA,HE_KI67,0.64 ± 0.06 (0.62-0.66),0.73 ± 0.05 (0.71-0.74),0.95 ± 0.01 (0.95-0.96),0.78 ± 0.04 (0.77-0.79)
conch_v1_5,small_clam_sb,Single_Stain,HE,0.63 ± 0.06 (0.62-0.65),0.70 ± 0.05 (0.69-0.71),0.94 ± 0.01 (0.94-0.94),0.76 ± 0.04 (0.75-0.77)
conch_v1_5,small_clam_sb,Single_Stain,KI67,0.58 ± 0.06 (0.57-0.60),0.66 ± 0.05 (0.65-0.67),0.94 ± 0.02 (0.93-0.94),0.73 ± 0.03 (0.72-0.74)
