Task,Modality,Feature_Encoder,Aggregation,Fusion,Fold,BA,MCC,AUC,F1-Score
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_0,0.8202564102564103,0.7317619678035817,0.884102564102564,0.8944957786917932
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_1,0.7661538461538462,0.5093194320433769,0.8943589743589744,0.806339733777683
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_2,0.7343589743589745,0.4630534754055818,0.8046153846153846,0.7933430040484103
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_3,0.812051282051282,0.616560262110058,0.8871794871794871,0.8523878600345788
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_4,0.7928205128205128,0.5856410256410256,0.9174358974358976,0.8415841584158416
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_5,0.7602564102564102,0.5142224043070739,0.8615384615384615,0.8130246227104666
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_6,0.8638461538461539,0.7188981199130422,0.9082051282051282,0.8917510973586913
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_7,0.868974358974359,0.6827577340536678,0.9476923076923076,0.8667224468925766
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_8,0.8053846153846154,0.5965598351473507,0.9005128205128206,0.8434474078038433
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_9,0.8371794871794872,0.639261545199969,0.9256410256410256,0.855438356902841
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_10,0.8187179487179487,0.6374358974358975,0.9087179487179488,0.8613861386138614
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_11,0.7943589743589744,0.6725882618402818,0.9297435897435898,0.8733949344301518
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_12,0.8053846153846154,0.5965598351473507,0.893846153846154,0.8434474078038433
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_13,0.8312820512820513,0.6471497120154299,0.9184615384615384,0.8630164818283629
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_14,0.7728205128205128,0.52730158299238,0.8492307692307692,0.8150921214570437
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_15,0.8838461538461538,0.7885940776981649,0.9651282051282052,0.9197290255341324
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_16,0.8630769230769231,0.6883607209149477,0.9164102564102564,0.8747132426491289
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_17,0.735897435897436,0.5278211577946774,0.8405128205128205,0.8223441452425497
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_18,0.735897435897436,0.5278211577946774,0.8764102564102565,0.8223441452425497
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_19,0.8305128205128205,0.6212066227537364,0.8733333333333333,0.8464777512233982
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_20,0.812051282051282,0.616560262110058,0.8364102564102563,0.8523878600345788
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_21,0.8069230769230769,0.6734716791106383,0.9123076923076924,0.8757243617338324
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_22,0.8002564102564103,0.6469712001486109,0.9061538461538462,0.866516713442106
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_23,0.8253846153846154,0.6592763791685204,0.803076923076923,0.8704514393784528
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_24,0.8261538461538461,0.7027731567797036,0.946153846153846,0.8870526036817822
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_25,0.8194871794871794,0.6768241563340273,0.9097435897435896,0.8777806352063777
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_26,0.8830769230769231,0.7483294657515884,0.935897435897436,0.902154629877402
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_27,0.7994871794871794,0.6068044214884412,0.8794871794871795,0.8505208915905226
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_28,0.7751282051282051,0.6430108668860607,0.9133333333333332,0.8614599941784437
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_29,0.857948717948718,0.7353889996437128,0.8969230769230769,0.8996612819176654
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_30,0.7684615384615384,0.6134145558769817,0.8676923076923078,0.8522940901685105
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_31,0.7676923076923077,0.5670982497694418,0.8610256410256412,0.837040846941837
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_32,0.7987179487179488,0.5773555866410928,0.8528205128205127,0.8345561086720917
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_33,0.8646153846153846,0.7602756327927188,0.8953846153846154,0.9090368820795646
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_34,0.8069230769230769,0.6734716791106383,0.8364102564102565,0.8757243617338324
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_35,0.7897435897435897,0.5140560641943572,0.8764102564102564,0.7761454810977148
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_36,0.8305128205128205,0.6212066227537364,0.882051282051282,0.8464777512233982
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_37,0.7625641025641026,0.6456360856384293,0.9092307692307692,0.8584177914837385
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_38,0.9148717948717948,0.786559072344905,0.98,0.9132630141417044
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_39,0.832051282051282,0.6821839215892609,0.9097435897435898,0.8795935383011986
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_40,0.9074358974358976,0.7438727725433409,0.9717948717948718,0.8865264406624994
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_41,0.7935897435897437,0.6219612030517345,0.9394871794871794,0.8574107410741074
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_42,0.8764102564102564,0.727517597587231,0.9328205128205128,0.8929480703172358
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_43,0.8038461538461539,0.5547446415757451,0.8594871794871795,0.8108774011041656
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_44,0.8069230769230769,0.6734716791106383,0.9333333333333332,0.8757243617338324
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_45,0.7543589743589744,0.5225686874259049,0.8594871794871795,0.8193903074517978
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_46,0.8194871794871794,0.6768241563340273,0.8594871794871795,0.8777806352063777
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_47,0.73,0.55081490432225,0.8733333333333334,0.8276756247053277
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_48,0.8246153846153846,0.6274095902898055,0.8994871794871794,0.8540200958871398
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_49,0.837948717948718,0.6677291910115501,0.9066666666666668,0.8720694786966351
LGG_vs_HGG,KI67,conch_v1_5,small_clam_sb,Single_Stain,fold_0,0.8453846153846154,0.73168710961632,0.8897435897435898,0.898150529338648
LGG_vs_HGG,KI67,conch_v1_5,small_clam_sb,Single_Stain,fold_1,0.8830769230769231,0.7483294657515884,0.9215384615384616,0.902154629877402
LGG_vs_HGG,KI67,conch_v1_5,small_clam_sb,Single_Stain,fold_2,0.8179487179487179,0.6084355450229166,0.9,0.8450717870221465
LGG_vs_HGG,KI67,conch_v1_5,small_clam_sb,Single_Stain,fold_3,0.8328205128205128,0.7302976102636662,0.9271794871794872,0.8964369681115268
LGG_vs_HGG,KI67,conch_v1_5,small_clam_sb,Single_Stain,fold_4,0.8956410256410257,0.7571097144922261,0.9651282051282052,0.9031698668888416
LGG_vs_HGG,KI67,conch_v1_5,small_clam_sb,Single_Stain,fold_5,0.8328205128205128,0.7302976102636662,0.8917948717948718,0.8964369681115268
LGG_vs_HGG,KI67,conch_v1_5,small_clam_sb,Single_Stain,fold_6,0.8905128205128205,0.8142755195100638,0.9815384615384616,0.9292509082841058
