Feature_Encoder,Aggregation,Fusion,Modality,BA,MCC,AUC,F1_Score
uni,small_clam_sb,Late_Fusion_LA,HE_KI67,0.78 ± 0.04 (0.77-0.80),0.77 ± 0.04 (0.76-0.78),0.96 ± 0.02 (0.95-0.96),0.83 ± 0.03 (0.82-0.84)
uni,small_clam_sb,Late_Fusion_LM_AL,HE_KI67,0.63 ± 0.12 (0.60-0.66),0.56 ± 0.16 (0.52-0.61),0.87 ± 0.07 (0.85-0.90),0.63 ± 0.16 (0.59-0.67)
uni,small_clam_sb,Late_Fusion_LM_OHL,HE_KI67,0.80 ± 0.04 (0.78-0.81),0.77 ± 0.04 (0.75-0.78),0.95 ± 0.02 (0.95-0.96),0.83 ± 0.03 (0.82-0.84)
uni,small_clam_sb,Late_Fusion_LM_SL,HE_KI67,0.70 ± 0.13 (0.66-0.73),0.66 ± 0.13 (0.62-0.70),0.93 ± 0.04 (0.92-0.94),0.73 ± 0.12 (0.69-0.76)
uni,small_clam_sb,Late_Fusion_LM_THL,HE_KI67,0.80 ± 0.04 (0.78-0.81),0.77 ± 0.04 (0.76-0.78),0.95 ± 0.02 (0.95-0.96),0.83 ± 0.03 (0.82-0.84)
uni,small_clam_sb,Late_Fusion_PA,HE_KI67,0.78 ± 0.05 (0.77-0.79),0.77 ± 0.04 (0.75-0.78),0.95 ± 0.02 (0.95-0.96),0.83 ± 0.03 (0.82-0.84)
uni,small_clam_sb,Single_Stain,HE,0.78 ± 0.04 (0.77-0.79),0.75 ± 0.04 (0.74-0.76),0.94 ± 0.02 (0.94-0.95),0.82 ± 0.03 (0.81-0.83)
uni,small_clam_sb,Single_Stain,KI67,0.73 ± 0.05 (0.72-0.74),0.69 ± 0.05 (0.68-0.70),0.93 ± 0.02 (0.93-0.94),0.78 ± 0.03 (0.77-0.78)
uni2-h,small_clam_sb,Early_Fusion,HE_KI67,0.78 ± 0.04 (0.77-0.79),0.74 ± 0.04 (0.73-0.75),0.94 ± 0.02 (0.93-0.94),0.81 ± 0.03 (0.81-0.82)
uni2-h,small_clam_sb,Intermediate_Fusion_CA,HE_KI67,0.76 ± 0.05 (0.74-0.77),0.73 ± 0.05 (0.72-0.75),0.94 ± 0.02 (0.93-0.94),0.80 ± 0.04 (0.79-0.81)
uni2-h,small_clam_sb,Late_Fusion_LA,HE_KI67,0.80 ± 0.04 (0.79-0.81),0.79 ± 0.04 (0.78-0.80),0.96 ± 0.02 (0.95-0.96),0.85 ± 0.03 (0.84-0.85)
uni2-h,small_clam_sb,Late_Fusion_LM_AL,HE_KI67,0.60 ± 0.13 (0.56-0.63),0.53 ± 0.18 (0.48-0.58),0.87 ± 0.08 (0.84-0.89),0.60 ± 0.17 (0.55-0.64)
uni2-h,small_clam_sb,Late_Fusion_LM_OHL,HE_KI67,0.82 ± 0.04 (0.81-0.83),0.78 ± 0.04 (0.77-0.79),0.95 ± 0.02 (0.95-0.96),0.84 ± 0.03 (0.84-0.85)
uni2-h,small_clam_sb,Late_Fusion_LM_SL,HE_KI67,0.67 ± 0.16 (0.62-0.71),0.62 ± 0.18 (0.57-0.67),0.92 ± 0.06 (0.90-0.93),0.69 ± 0.15 (0.65-0.73)
uni2-h,small_clam_sb,Late_Fusion_LM_THL,HE_KI67,0.82 ± 0.04 (0.81-0.83),0.78 ± 0.04 (0.77-0.79),0.95 ± 0.02 (0.94-0.95),0.84 ± 0.03 (0.84-0.85)
uni2-h,small_clam_sb,Late_Fusion_PA,HE_KI67,0.80 ± 0.04 (0.79-0.81),0.78 ± 0.04 (0.77-0.79),0.95 ± 0.02 (0.95-0.96),0.84 ± 0.03 (0.83-0.85)
uni2-h,small_clam_sb,Single_Stain,HE,0.78 ± 0.04 (0.77-0.79),0.75 ± 0.04 (0.74-0.76),0.94 ± 0.02 (0.94-0.95),0.82 ± 0.03 (0.81-0.83)
uni2-h,small_clam_sb,Single_Stain,KI67,0.76 ± 0.05 (0.75-0.78),0.73 ± 0.05 (0.71-0.74),0.94 ± 0.02 (0.93-0.94),0.80 ± 0.04 (0.79-0.81)
