Feature_Encoder,Aggregation,Fusion,Modality,BA,MCC,AUC,F1_Score
conch_v1_5,small_clam_sb,Early_Fusion,HE_KI67,0.74 ± 0.04 (0.73-0.76),0.71 ± 0.04 (0.70-0.72),0.94 ± 0.01 (0.93-0.94),0.79 ± 0.03 (0.79-0.80)
conch_v1_5,small_clam_sb,Intermediate_Fusion_CA,HE_KI67,0.28 ± 0.08 (0.26-0.30),0.19 ± 0.17 (0.14-0.23),0.66 ± 0.14 (0.62-0.70),0.37 ± 0.06 (0.35-0.39)
conch_v1_5,small_clam_sb,Intermediate_Fusion_CONCAT,HE_KI67,0.75 ± 0.04 (0.74-0.76),0.74 ± 0.03 (0.73-0.75),0.94 ± 0.01 (0.94-0.95),0.81 ± 0.03 (0.80-0.82)
conch_v1_5,small_clam_sb,Intermediate_Fusion_EWM,HE_KI67,0.74 ± 0.04 (0.73-0.75),0.74 ± 0.03 (0.73-0.75),0.94 ± 0.01 (0.94-0.95),0.81 ± 0.03 (0.80-0.82)
conch_v1_5,small_clam_sb,Late_Fusion_LA,HE_KI67,0.75 ± 0.04 (0.74-0.76),0.74 ± 0.03 (0.73-0.75),0.94 ± 0.01 (0.94-0.95),0.81 ± 0.03 (0.80-0.82)
conch_v1_5,small_clam_sb,Late_Fusion_LM_AL,HE_KI67,0.62 ± 0.10 (0.60-0.65),0.55 ± 0.13 (0.51-0.58),0.88 ± 0.04 (0.87-0.90),0.61 ± 0.16 (0.57-0.65)
conch_v1_5,small_clam_sb,Late_Fusion_LM_OHL,HE_KI67,0.79 ± 0.04 (0.78-0.80),0.73 ± 0.04 (0.72-0.74),0.94 ± 0.01 (0.94-0.95),0.81 ± 0.03 (0.80-0.82)
conch_v1_5,small_clam_sb,Late_Fusion_LM_SL,HE_KI67,0.67 ± 0.11 (0.64-0.70),0.62 ± 0.12 (0.59-0.65),0.92 ± 0.03 (0.91-0.93),0.69 ± 0.11 (0.66-0.73)
conch_v1_5,small_clam_sb,Late_Fusion_LM_THL,HE_KI67,0.78 ± 0.04 (0.77-0.79),0.72 ± 0.04 (0.71-0.74),0.94 ± 0.01 (0.94-0.94),0.80 ± 0.03 (0.79-0.81)
conch_v1_5,small_clam_sb,Late_Fusion_PA,HE_KI67,0.75 ± 0.04 (0.74-0.76),0.74 ± 0.03 (0.73-0.74),0.94 ± 0.01 (0.94-0.95),0.81 ± 0.02 (0.80-0.81)
conch_v1_5,small_clam_sb,Single_Stain,HE,0.73 ± 0.05 (0.72-0.75),0.70 ± 0.05 (0.69-0.71),0.93 ± 0.02 (0.93-0.93),0.78 ± 0.03 (0.77-0.79)
conch_v1_5,small_clam_sb,Single_Stain,KI67,0.69 ± 0.04 (0.68-0.70),0.67 ± 0.05 (0.65-0.68),0.92 ± 0.02 (0.91-0.92),0.76 ± 0.03 (0.75-0.77)
