Feature_Encoder,Aggregation,Fusion,Modality,BA,MCC,AUC,F1_Score
conch_v1_5,small_clam_sb,Early_Fusion,HE_KI67,0.86 ± 0.05 (0.85-0.87),0.74 ± 0.09 (0.71-0.76),0.93 ± 0.04 (0.92-0.94),0.90 ± 0.04 (0.89-0.91)
conch_v1_5,small_clam_sb,Intermediate_Fusion_CA,HE_KI67,0.65 ± 0.16 (0.61-0.69),0.32 ± 0.32 (0.23-0.41),0.72 ± 0.27 (0.65-0.80),0.75 ± 0.11 (0.72-0.78)
conch_v1_5,small_clam_sb,Intermediate_Fusion_CONCAT,HE_KI67,0.87 ± 0.05 (0.86-0.89),0.77 ± 0.09 (0.74-0.80),0.93 ± 0.04 (0.92-0.94),0.91 ± 0.04 (0.90-0.92)
conch_v1_5,small_clam_sb,Intermediate_Fusion_EWM,HE_KI67,0.87 ± 0.05 (0.85-0.88),0.77 ± 0.09 (0.74-0.79),0.94 ± 0.04 (0.93-0.95),0.91 ± 0.04 (0.90-0.92)
conch_v1_5,small_clam_sb,Late_Fusion_LA,HE_KI67,0.86 ± 0.05 (0.85-0.88),0.75 ± 0.08 (0.73-0.78),0.94 ± 0.04 (0.93-0.95),0.91 ± 0.03 (0.90-0.91)
conch_v1_5,small_clam_sb,Late_Fusion_LM_AL,HE_KI67,0.77 ± 0.18 (0.72-0.82),0.55 ± 0.36 (0.45-0.65),0.88 ± 0.14 (0.84-0.92),0.83 ± 0.13 (0.80-0.87)
conch_v1_5,small_clam_sb,Late_Fusion_LM_OHL,HE_KI67,0.87 ± 0.05 (0.86-0.88),0.74 ± 0.09 (0.72-0.77),0.93 ± 0.04 (0.92-0.94),0.90 ± 0.04 (0.89-0.91)
conch_v1_5,small_clam_sb,Late_Fusion_LM_SL,HE_KI67,0.83 ± 0.12 (0.80-0.86),0.68 ± 0.24 (0.61-0.74),0.93 ± 0.04 (0.92-0.94),0.88 ± 0.09 (0.85-0.90)
conch_v1_5,small_clam_sb,Late_Fusion_LM_THL,HE_KI67,0.88 ± 0.06 (0.86-0.89),0.76 ± 0.10 (0.73-0.78),0.92 ± 0.05 (0.91-0.94),0.91 ± 0.04 (0.89-0.92)
conch_v1_5,small_clam_sb,Late_Fusion_PA,HE_KI67,0.86 ± 0.05 (0.85-0.88),0.75 ± 0.08 (0.73-0.78),0.93 ± 0.04 (0.92-0.94),0.91 ± 0.03 (0.90-0.91)
conch_v1_5,small_clam_sb,Single_Stain,HE,0.83 ± 0.06 (0.82-0.85),0.68 ± 0.10 (0.66-0.71),0.91 ± 0.04 (0.90-0.92),0.88 ± 0.04 (0.87-0.89)
conch_v1_5,small_clam_sb,Single_Stain,KI67,0.85 ± 0.05 (0.83-0.86),0.72 ± 0.10 (0.70-0.75),0.93 ± 0.04 (0.92-0.94),0.89 ± 0.04 (0.88-0.90)
